evidence_class	model	location	beta_per_1SD_evolution_score	cluster_robust_SE	CI_2.5	CI_97.5	p	Holm_p	source_file	source_location	interpretation_note
HISTORICAL_ORTHOGONAL	PRIMARY_D_MEAN	ER	0.01673025983841602	0.030503392891210263	-0.043055291634631204	0.07651581131146325	0.5833677841014235	1.0	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 1	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_ORTHOGONAL	PRIMARY_D_MEAN	mitochondria	0.04222433276542761	0.06340719307906613	-0.0820514820303194	0.1665001475611746	0.5054600712397642	1.0	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 2	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_ORTHOGONAL	PRIMARY_D_MEAN	cytosol	0.07967994550609593	0.03670546441932284	0.007738557208406757	0.15162133380378512	0.029946863951814926	0.08984059185544478	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 3	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	ADJUSTED_D_MEAN	ER	0.002564546105892715	0.031236845782877262	-0.05865854661917859	0.06378763883096401	0.9345671659598707	0.9345671659598707	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 4	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	ADJUSTED_D_MEAN	mitochondria	0.07007178398724814	0.06578135064276233	-0.058857294126966775	0.19900086210146306	0.2867751907336047	0.5735503814672094	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 5	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	ADJUSTED_D_MEAN	cytosol	0.08070343882025378	0.03788234762171162	0.0064554018318724316	0.15495147580863514	0.03314103082112301	0.09942309246336903	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 6	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	WITHIN_PROTEIN_D_MEAN	ER	0.01698663189650155	0.04029461312771839	-0.06198935860480136	0.09596262239780445	0.6733455776284389	1.0	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 7	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P. Specification–implementation discrepancy: executed model demeaned outcome and score within gene–location groups; specification contained different covariate-handling language, including covariate demeaning. No harmonized reanalysis was performed. SUPPORTING only.
HISTORICAL_SUPPORTING	WITHIN_PROTEIN_D_MEAN	mitochondria	0.03278035207677158	0.07963304399368572	-0.1232975461301461	0.18885825028368924	0.6806014136592836	1.0	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 8	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P. Specification–implementation discrepancy: executed model demeaned outcome and score within gene–location groups; specification contained different covariate-handling language, including covariate demeaning. No harmonized reanalysis was performed. SUPPORTING only.
HISTORICAL_SUPPORTING	WITHIN_PROTEIN_D_MEAN	cytosol	0.11015788497226431	0.046915896152740603	0.018204418210471446	0.20211135173405717	0.018875211711021245	0.056625635133063734	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 9	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P. Specification–implementation discrepancy: executed model demeaned outcome and score within gene–location groups; specification contained different covariate-handling language, including covariate demeaning. No harmonized reanalysis was performed. SUPPORTING only.
HISTORICAL_SUPPORTING	REPLICATE1_D	ER	0.04877488524406769	0.03432994970199559	-0.01851057976291523	0.1160603502510506	0.1553842904316186	0.46615287129485583	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 10	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	REPLICATE1_D	mitochondria	0.11545025734752712	0.09626241692739747	-0.07322061289495077	0.304121127590005	0.23040024851040042	0.46615287129485583	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 11	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	REPLICATE1_D	cytosol	0.011007148180987376	0.043247363964085093	-0.07375612761491479	0.09577042397688953	0.7990969073672278	0.7990969073672278	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 12	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	REPLICATE2_D	ER	-0.015314365567235639	0.04279881375625517	-0.0991984991105332	0.06856976797606192	0.7204763781408172	1.0	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 13	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
HISTORICAL_SUPPORTING	REPLICATE2_D	mitochondria	-0.031001591816671947	0.08497378775623729	-0.19754715544884766	0.13554397181550376	0.7152329960215105	1.0	04_STAGE1_EVOLUTION/03_FULL_EVOLUTION_DATA/P5_STAGE1B_FIRST_BRIDGE_MODEL_RESULTS.tsv	data row 14	Historical orthogonal evidence. Location coefficients secondary to the joint test; raw P must be read with Holm P.
